,Target_Column,Num_Layers,Nodes,Stepmax,Learning rate,Avg_Accuracy,,RF4 avg accuracy,RF3 avg accuracy,RF2 avg accuracy
1,52,1,20,1.00E+06,1.00E-05,0.62,,63.64%,75.51%,87.14%
4,52,1,20,1.00E+06,1.00E-04,0.64,,,,
7,52,1,20,1.00E+06,0.001,0.63,,,,
10,52,1,20,1.00E+06,0.01,0.63,,,,
13,52,1,20,1.00E+06,0.1,0.63,,,,
16,52,1,40,1.00E+06,1.00E-05,0.61,,,,
19,52,1,40,1.00E+06,1.00E-04,0.62,,,,
22,52,1,40,1.00E+06,0.001,0.62,,,,
25,52,1,40,1.00E+06,0.01,0.62,,,,
28,52,1,40,1.00E+06,0.1,0.63,,,,
31,52,1,60,1.00E+06,1.00E-05,0.65,,,,
34,52,1,60,1.00E+06,1.00E-04,0.62,,,,
37,52,1,60,1.00E+06,0.001,0.63,,,,
40,52,1,60,1.00E+06,0.01,0.64,,,,
43,52,1,60,1.00E+06,0.1,0.63,,,,
46,52,1,80,1.00E+06,1.00E-05,0.61,,,,
49,52,1,80,1.00E+06,1.00E-04,0.62,,,,
52,52,1,80,1.00E+06,0.001,0.63,,,,
55,52,1,80,1.00E+06,0.01,0.63,,,,
58,52,1,80,1.00E+06,0.1,0.62,,,,
61,52,1,100,1.00E+06,1.00E-05,0.63,,,,
64,52,1,100,1.00E+06,1.00E-04,0.63,,,,
67,52,1,100,1.00E+06,0.001,0.62,,,,
70,52,1,100,1.00E+06,0.01,0.63,,,,
73,52,1,100,1.00E+06,0.1,0.63,,,,
76,52,1,120,1.00E+06,1.00E-05,0.61,,,,
79,52,1,120,1.00E+06,1.00E-04,0.62,,,,
82,52,1,120,1.00E+06,0.001,0.63,,,,
85,52,1,120,1.00E+06,0.01,0.62,,,,
88,52,1,120,1.00E+06,0.1,0.63,,,,
91,52,1,140,1.00E+06,1.00E-05,0.65,,,,
94,52,1,140,1.00E+06,1.00E-04,0.63,,,,
97,52,1,140,1.00E+06,0.001,0.63,,,,
100,52,1,140,1.00E+06,0.01,0.63,,,,
103,52,1,140,1.00E+06,0.1,0.64,,,,
106,52,1,160,1.00E+06,1.00E-05,0.62,,,,
109,52,1,160,1.00E+06,1.00E-04,0.64,,,,
112,52,1,160,1.00E+06,0.001,0.63,,,,
115,52,1,160,1.00E+06,0.01,0.64,,,,
118,52,1,160,1.00E+06,0.1,0.64,,,,
121,52,1,180,1.00E+06,1.00E-05,0.63,,,,
124,52,1,180,1.00E+06,1.00E-04,0.64,,,,
127,52,1,180,1.00E+06,0.001,0.64,,,,
130,52,1,180,1.00E+06,0.01,0.64,,,,
133,52,1,180,1.00E+06,0.1,0.64,,,,
136,52,1,200,1.00E+06,1.00E-05,0.62,,,,
139,52,1,200,1.00E+06,1.00E-04,0.64,,,,
142,52,1,200,1.00E+06,0.001,0.64,,,,
145,52,1,200,1.00E+06,0.01,0.64,,,,
148,52,1,200,1.00E+06,0.1,0.64,,,,
